iter	RMSE
0	5.622986882
1	5.121469635
2	4.665159154
3	4.256309764
4	3.889335829
5	3.548925443
6	3.262708276
7	2.998751199
8	2.76436149
9	2.544366516
10	2.353471992
11	2.191556672
12	2.049828503
13	1.916749729
14	1.795149145
15	1.689972107
16	1.596083655
17	1.519970065
18	1.447980718
19	1.387301997
20	1.338582596
21	1.29578801
22	1.257300158
23	1.221041403
24	1.189115279
25	1.166835214
26	1.14512372
27	1.125837085
28	1.110618395
29	1.095388622
30	1.082948155
31	1.072506426
32	1.063065045
33	1.054102285
34	1.046407755
35	1.039027703
36	1.032868298
37	1.02534301
38	1.019991339
39	1.014986692
